,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
1476,28,100.0,1416.9610763888888,3.171736817241805,0.021891085915581792,16,8,0,0,0,0,0,0,0,1,1,0,0,0,2,-0.05,-0.05,-0.05,0.20967536427184208,1.3266218716086093,0,66.0
1477,23,90923.0,2762.448159722222,3.197454591561581,0.4894877320094326,6,4,5,0,4,4,0,0,1,1,0,0,0,0,17,0.0,0.16666666666666666,0.0,6.248700393681778,-0.761331980051786,3,41555.0
1478,17,228683.0,1307.4410416666667,3.1866826690862737,0.4311422220014212,7,9,0,1,1,0,0,0,0,1,1,0,0,0,10,0.0,-0.025,0.0,1.0120397033801973,-0.5670688752248549,3,26617.0
1479,26,26650.0,2385.274479166667,3.0437546987623136,0.5103633390655381,2,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,0.7048545072702914,0.8836877603880737,3,160228.0
1480,24,8036.0,200.42244212962962,3.1490749240849514,0.06167779815761314,8,12,0,0,5,0,0,0,0,0,0,0,0,0,4,0.0625,0.16666666666666666,0.0,1.3624913952387907,0.13735682151815665,1,604.0
1481,22,12405.0,3072.924664351852,3.1572376431999998,0.2809671849,9,4,0,0,1,1,1,2,0,0,1,0,0,0,5,0.0,0.13636363636363635,0.0,-1.255106143224004,1.0537500633574257,3,1085339.0
1482,9,6881.0,1503.4744328703703,3.1555018481,0.43674705420000004,5,1,0,0,0,0,0,1,2,0,0,0,0,0,16,0.0,0.0,0.0,2.4419478341988925,0.04570024559151166,3,209481.0
1483,5,4969.0,3481.2047685185184,3.1912060666000004,0.478531903,4,4,0,0,0,1,1,0,1,0,0,0,0,0,9,0.0,0.0,0.0,0.5978779835614539,1.2051096945866302,3,565533.0
1484,6,269.0,2434.650011574074,3.1792721767,0.3960927078,5,2,0,0,0,0,1,0,1,0,0,0,0,0,5,0.0,0.0,0.0,0.18753583546060773,0.4037864363083021,3,125459.0
1485,25,1907.0,2047.09,3.1529930651,0.7171339725,11,5,3,2,4,0,0,0,2,0,2,0,0,0,22,0.0,0.0,0.0,-0.26058670814341617,1.4794230905015056,3,156479.0
1486,0,1639.0,2885.6550810185186,3.1508731691000005,0.2832085584,0,4,0,0,0,1,1,0,0,0,0,0,0,0,4,0.0,0.0,0.0,-1.0112273201016528,0.8906923224702982,3,56291.0
1487,24,606.0,1106.7264583333333,3.208770854,0.9219998576999999,12,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0.13636363636363635,0.35,-3.574201834450231,0.03107633755200686,3,90765.0
1488,25,0.0,3046.0616319444443,3.1420932804,0.4331057075,13,2,0,0,0,0,0,0,1,0,2,0,0,0,11,0.0,0.3,0.13636363636363635,-0.1132286970061196,0.7738890136461617,3,93658.0
1489,6,6467.0,2773.6237731481483,3.1751637464999996,0.4553073075,4,3,1,0,0,0,0,0,7,0,0,1,0,0,28,0.0,0.0,0.04545454545454545,-2.7047415209702015,0.46273144651786546,1,1759.0
1490,20,18238.0,1996.7572222222223,3.1918814317,0.46429860009999996,9,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,-1.0357021198221363,0.2572994965218288,2,13542.0
1491,2,11227.0,316.4128587962963,3.2096511944,0.11522321810000001,0,7,14,0,0,1,0,0,2,0,0,0,0,0,46,0.0,0.0,0.04722222222222222,-0.12983552527808206,-1.2116011934904467,2,4145.0
1492,24,6503.0,711.5353240740741,3.0724316262,0.6957821379000001,12,10,0,1,1,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,1.279047761119171,0.6519643620009267,3,27197.0
1493,22,34512.0,2706.358460648148,3.0978062205000003,0.6131823764,6,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,-2.791119982134359,-1.1807980997608194,3,23747.0
1494,29,4352.0,4241.785798611111,3.1193427576999997,0.3316341359,4,4,0,0,0,0,0,1,1,0,0,0,0,0,5,0.0,-0.13125,0.0,0.28343860694879086,-0.10261833479321171,3,98226.0
1495,18,545.0,3261.259826388889,3.141972983,0.4568935896,9,4,0,0,0,1,1,2,1,0,0,0,0,0,13,0.0,0.13636363636363635,0.5,2.436831900600013,-1.931335015897433,3,253309.0
1496,20,10954.0,3494.3057175925924,3.1874655085000003,0.505526055,10,6,0,2,2,0,0,0,1,0,0,0,0,0,13,0.0,0.0,0.4,-4.426566520508489,-0.265395473690433,3,350717.0
1497,18,325.0,475.4295138888889,3.1507571295,0.4257032103,9,5,0,1,0,0,0,0,1,0,0,0,0,0,12,0.0,0.5,0.0,0.054974737455576475,-0.26510824975708663,2,4127.0
1498,5,19.0,1616.8481828703705,3.1704667262,0.4426092895,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-1.311804117154774,-1.724633563578776,2,4560.0
1499,0,526.0,125.74737268518518,3.1980463002999997,0.1409380973,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3983984843517649,-2.1970446033211872,2,2448.0
1500,6,0.0,1171.2079166666667,3.1904403604000002,0.7708765882999999,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,-4.447609595101198,-0.4473325211453255,1,1839.0
1501,3,641.0,1530.4800694444446,3.1834761098000004,0.2080669178,3,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,-1.7871392438952893,0.8499980945824108,2,4343.0
1502,22,3243.0,1460.1890277777777,3.1770456926999997,0.3001574241,15,5,0,0,1,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,2.47815526130213,-0.3919814705224687,2,12034.0
1503,7,53086.0,1006.4392592592593,3.1695669259,0.7010138145999999,5,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,-1.8042079695298663,-0.1311825297349472,3,132210.0
1504,4,94.0,1356.911412037037,3.1791870232,0.3372853364,1,5,0,0,0,0,0,0,1,2,1,0,0,0,11,0.0,0.0,0.0,0.4689043605121512,-2.4516094921357334,2,6097.0
1505,29,4352.0,4232.240960648148,3.1780631919999998,0.6399416467,1,4,0,0,1,0,1,1,1,0,0,0,0,0,5,0.0,-0.25,0.0,-0.9130105529876806,1.0642627580777533,3,100013.0
1506,24,55.0,782.8146064814815,3.1579474022000005,0.09340735189999999,1,1,0,0,0,0,0,0,2,0,2,0,0,0,9,0.0,0.4666666666666666,0.0,0.09839751942177566,0.01623059532544128,1,921.0
1507,26,2228.0,1564.2097453703705,3.0855280769,0.2741300746,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.3819775109508678,0.08945816375259548,3,80949.0
1508,13,1342.0,302.17686342592594,3.1396054843,0.5517174903000001,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,1.3788460692129703,0.9016499703244805,1,346.0
1509,30,15.0,3963.3464236111113,3.0847426297000005,0.10261800859999999,3,3,0,0,0,0,0,0,1,0,0,0,0,0,15,0.0,0.2333333333333333,0.10208333333333333,0.7258354211744418,-0.27083756221673705,2,3104.0
1510,0,3168.0,822.2439699074074,3.1618233794,0.3869890485,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.40769351768454093,0.08006105782949276,1,845.0
1511,3,24.0,3044.5490046296295,3.2195790842000003,0.46820389079999997,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,-3.620759634737848,-1.3649774571321103,3,22511.0
1512,1,4085.0,2592.1062037037036,3.0941263073000003,0.2355301782,1,3,0,0,0,0,0,0,3,1,0,0,0,0,10,0.0,0.4,0.0,0.054712294969933774,1.1472318767842022,2,5275.0
1513,23,5922.0,638.5390972222223,3.1838834642,0.3943025174,6,3,0,0,0,0,0,0,0,0,1,0,0,0,7,0.0,0.0,0.0,-2.3953022747540405,-1.6199456700240236,1,1140.0
1514,14,5665.0,4005.8647569444443,3.1790291213,0.3870777153,5,5,0,0,0,1,1,1,1,0,0,0,0,0,8,0.0,0.5,0.0,0.6623068552586953,0.023891990184572047,3,312663.0
1515,23,3497.0,962.6253703703703,3.1718718182999996,0.8611365483,14,6,0,0,2,0,0,0,0,0,2,0,0,0,4,0.0,0.0,0.0,0.9749556939909232,-0.44526658485163095,1,1889.0
1516,25,330.0,1987.1496527777779,3.1779134782,0.5814018088,9,5,0,0,0,0,0,0,1,1,0,0,0,0,25,0.0,0.0,0.5,-0.6053854369915534,-2.440033111103294,2,14253.0
1517,23,591.0,2918.320798611111,3.1811669287,0.153983435,9,2,0,0,1,0,0,0,2,0,0,0,0,0,9,0.0,0.0,0.0,2.5098440496301415,-1.4949203014971553,2,7280.0
1518,0,417.0,926.580474537037,3.1350944977,0.08454036390000001,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0.0,0.0,0.0,-0.632833612686723,-0.9319364830750835,1,1082.0
1519,22,61.0,1413.8249421296296,3.1355576295,0.0839205311,15,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.3,-0.6627715800734055,-0.8784450112486081,1,262.0
1520,13,2213.0,2241.2177430555557,3.1194400241,0.2051167312,7,2,2,0,2,1,1,1,2,0,2,0,0,0,12,0.0,0.0,0.0,-1.443902989040366,0.9218708239005468,1,1794.0
